node_1,node_2,distance,neighbor,color
0,1,52.89,False,red
0,2,424.58,False,red
0,3,117.34,False,red
0,4,373.45,False,red
0,5,372.48,False,red
0,6,173.79,False,red
0,7,434.72,False,red
0,8,409.01,False,red
0,9,340.12,False,red
0,10,381.66,False,red
0,11,342.46,False,red
0,12,338.53,False,red
0,13,106.79,False,red
0,14,273.53,False,red
0,15,154.2,False,red
0,16,536.35,False,red
0,17,336.52,False,red
0,18,352.68,False,red
0,19,55.08,False,red
0,20,277.79,False,red
0,21,481.4,False,red
0,22,404.21,False,red
0,23,405.66,False,red
0,24,318.44,False,red
0,25,84.65,False,red
0,26,202.0,False,red
0,27,402.46,False,red
0,28,260.3,False,red
0,29,365.09,False,red
0,30,67.12,False,red
0,31,114.98,False,red
0,32,151.18,False,red
0,33,360.86,False,red
0,34,258.8,False,red
0,35,168.36,False,red
0,36,513.28,False,red
0,37,324.0,False,red
0,38,121.33,False,red
0,39,517.5,False,red
0,40,326.38,False,red
0,41,535.4,False,red
0,42,355.97,False,red
0,43,385.63,False,red
0,44,368.74,False,red
0,45,367.56,False,red
0,46,223.66,False,red
0,47,25.0,True,green
0,48,329.52,False,red
0,49,401.06,False,red
0,50,441.31,False,red
0,51,317.72,False,red
0,52,85.88,False,red
0,53,390.8,False,red
0,54,467.23,False,red
0,55,269.3,False,red
0,56,379.53,False,red
0,57,413.92,False,red
0,58,243.28,False,red
0,59,417.81,False,red
0,60,482.64,False,red
0,61,490.4,False,red
0,62,154.21,False,red
0,63,243.09,False,red
0,64,338.5,False,red
0,65,207.23,False,red
0,66,178.04,False,red
0,67,376.3,False,red
0,68,479.41,False,red
0,69,222.11,False,red
0,70,416.47,False,red
0,71,313.11,False,red
0,72,348.83,False,red
0,73,283.7,False,red
0,74,283.3,False,red
0,75,101.84,False,red
0,76,485.41,False,red
0,77,413.24,False,red
0,78,76.01,False,red
0,79,537.74,False,red
0,80,436.58,False,red
0,81,247.42,False,red
0,82,452.31,False,red
0,83,361.14,False,red
0,84,310.58,False,red
0,85,505.8,False,red
0,86,129.77,False,red
0,87,130.73,False,red
0,88,123.66,False,red
0,89,356.43,False,red
0,90,149.2,False,red
0,91,451.74,False,red
0,92,215.26,False,red
0,93,200.02,False,red
0,94,484.15,False,red
0,95,523.65,False,red
0,96,453.62,False,red
0,97,323.8,False,red
0,98,492.38,False,red
0,99,125.32,False,red
1,0,52.89,False,red
1,2,436.51,False,red
1,3,88.28,False,red
1,4,352.12,False,red
1,5,392.56,False,red
1,6,222.65,False,red
1,7,443.98,False,red
1,8,430.88,False,red
1,9,369.42,False,red
1,10,418.66,False,red
1,11,345.47,False,red
1,12,317.63,False,red
1,13,99.54,False,red
1,14,243.51,False,red
1,15,116.81,False,red
1,16,551.44,False,red
1,17,321.56,False,red
1,18,399.3,False,red
1,19,63.13,False,red
1,20,304.6,False,red
1,21,475.42,False,red
1,22,383.82,False,red
1,23,413.77,False,red
1,24,339.6,False,red
1,25,99.04,False,red
1,26,194.79,False,red
1,27,437.51,False,red
1,28,246.27,False,red
1,29,395.41,False,red
1,30,24.08,True,green
1,31,162.79,False,red
1,32,121.49,False,red
1,33,409.48,False,red
1,34,280.72,False,red
