node_id,actual_status,predicted_status
0,True,True
1,True,True
2,True,True
3,False,True
4,False,True
5,True,True
6,False,True
7,True,True
8,True,True
9,False,True
10,False,True
11,True,True
12,False,True
13,True,True
14,True,True
15,True,True
16,True,True
17,True,True
18,True,True
19,True,True
20,True,True
21,False,True
22,True,True
23,True,True
24,True,True
25,True,True
26,True,True
27,True,True
28,True,True
29,False,True
30,True,True
31,True,True
32,False,True
33,True,True
34,True,True
35,True,True
36,False,True
37,True,True
38,True,True
39,True,True
40,True,True
41,True,True
42,True,True
43,True,False
44,True,True
45,True,True
46,False,True
47,False,True
48,True,True
49,True,False
50,True,True
51,True,True
52,False,True
53,True,True
54,True,True
55,True,True
56,True,True
57,True,True
58,False,True
59,True,True
60,True,True
61,True,True
62,False,True
63,True,True
64,False,True
65,False,True
66,True,True
67,True,True
68,False,True
69,False,True
70,True,True
71,True,True
72,True,True
73,True,True
74,False,True
75,False,True
76,True,True
77,True,True
78,False,True
79,True,True
80,True,True
81,True,True
82,True,True
83,True,True
84,True,True
85,True,True
86,True,True
87,True,True
88,True,True
89,True,True
90,True,True
91,True,True
92,True,True
93,True,True
94,True,True
95,True,True
96,True,True
97,True,True
98,True,True
99,True,True
